CodEscola,Nome,Nº Funcionarios,Nº Salas,Qtd Aluno/Computador,Qtd Computadores,Situação,Tem Biblioteca,Tem Internet,Tem Lab Ciências,Tem Lab Informática,Tem Quadra Cob,Tem Quadra Desc,Tipo,Zona da Escola
26173905,ESCOLA IRACEMA PIRES,15,4,0,1,Em Atividade,N,N,N,N,N,N,Pública,URBANA
26173913,ANEXO SANTA CLARA DA ESC DONA BRITES DE ALBUQUERQU,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26173921,ESC STA LUCIA ANEX DA ESC GREGORIO BEZERRA,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26170957,ESCOLA SANTA TEREZA,39,7,0,1,Em Atividade,N,N,N,N,N,N,Pública,URBANA
26170965,ESCOLA MUNICIPAL ISAAC PEREIRA DA SILVA,44,11,19,22,Em Atividade,N,N,N,S,S,N,Pública,URBANA
26170973,EDUCANDARIO CORDEIRINHOS,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26171023,ESCOLA EDUCACAO MONTESSORI,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26171031,ESCOLA MEM DE SA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26171040,COLEGIO COUTO SOARES MACIEL,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26171058,INSTITUTO EDUCACIONAL DA INFANCIA LTDA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26171597,CRECHE MUNICIPAL MAE OUTRA,33,9,0,1,Em Atividade,N,N,N,N,N,N,Pública,URBANA
26160544,INSTITUTO DE EDUCACAO INTEGRADA LTDA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26171082,INSTITUTO JOANA DARC,8,5,3,5,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26162628,ESCOLA MARIETA BARRETO,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26162644,ESCOLA CORACAO DE JESUS MENINO,35,14,8,16,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26162806,INSTITUTO FRANCISCO LEONARDO,0,0,0,0,Extinta,N,N,N,N,N,N,Privada,URBANA
26173930,ESCOLA PROFESSOR MARCOLINO BOTELHO,24,6,0,2,Em Atividade,N,N,N,N,N,N,Pública,URBANA
26173948,ANEXO I ESPACO ABERTO ESC MUL MA DA GLORIA ADVINCU,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26165244,COLEGIO CRIANCA ATIVA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26173956,ANEXO PROF CARMEM F LIMA FUNESO ESC IZAULINA CASTR,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26173964,ANEXO DOM HELDER CAMARA ESC CEL JOSE DOMINGOS SILV,0,0,0,0,Extinta,N,N,N,N,N,N,Pública,URBANA
26173972,ESCOLA MUNICIPAL ALTO DA MACAIBA,21,5,0,2,Em Atividade,N,N,N,N,N,N,Pública,URBANA
26173980,ESCOLA ALTERNATIVA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26173999,ESCOLA APRENDER PENSANDO,5,7,0,1,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26174006,EDUCANDARIO MARIA EDUARDA LTDA,6,5,0,0,Em Atividade,S,N,N,N,N,N,Privada,URBANA
26174014,ESCOLA ANN MILLER DEEDRICK,14,7,6,7,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26174022,EDUCANDARIO JESUS DE NAZARE,0,0,0,0,Em Atividade,N,N,N,N,N,N,Privada,URBANA
26174030,EDUCANDARIO BARBARA CEBELLI,9,8,0,1,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26174049,ESCOLA OASIS DO 1º MUNDO,20,12,3,4,Em Atividade,S,S,N,S,S,N,Privada,URBANA
26174057,ESCOLA MONTE SINAI,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26174065,EDUCANDARIO ANA TERRA LTDA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26174073,EDUCANDARIO JOANA LUCIA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26174081,EDUCANDARIO RENATA OLIVEIRA,9,6,1,2,Em Atividade,N,S,N,N,N,N,Privada,URBANA
26320614,COLEGIO E CURSO EXPOSITIVO,20,5,5,7,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26325616,EDUCANDARIO ROSA DE LIMA,9,5,0,1,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26177862,INSTITUTO PEQUENO MESTRE,8,4,3,4,Em Atividade,S,S,N,S,N,N,Privada,URBANA
26179393,COLEGIO E CURSO SANTA EMILIA LTDA,89,31,12,25,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26179407,EDUCANDARIO OLIVEIRA LIMA LTDA,6,7,3,4,Em Atividade,S,N,N,S,N,N,Privada,URBANA
26179431,ESCOLA NOVO SABER,12,5,2,3,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26179458,INSTITUTO EDUCACIONAL MONTEIRO DE MORAIS,13,6,2,2,Em Atividade,S,S,N,N,N,N,Privada,URBANA
26176920,COLEGIO PATRICIA COSTA,83,28,10,23,Em Atividade,S,S,S,S,S,N,Privada,URBANA
26176939,ACADEMIA MARIA DE FATIMA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26176947,ESCOLA TIA DANDA,0,0,0,0,Paralisada,N,N,N,N,N,N,Privada,URBANA
26176955,INSTITUTO BEIJA FLOR LTDA ME,4,5,0,1,Em Atividade,N,N,N,N,N,S,Privada,URBANA
26176963,ESCOLA VIVER E APRENDER,9,6,0,0,Em Atividade,S,N,N,N,N,N,Privada,URBANA
26180022,EDUCANDARIO ANA CAROLINA,8,8,1,2,Em Atividade,N,S,N,N,N,N,Privada,URBANA
